Place,Q1 {dB},Mean {dB},Q3 {dB},IQR {dB},Lower Outlier {dB},Upper Outlier {dB},Std Dev {dB},Median {dB},Mode {dB},Variance {dB}
Piso 1,24.057499999999997,25.067899999999998,26.049999999999997,1.9924999999999997,22.07915,28.056649999999998,1.5608551933710464,24.98,25.45,2.436268934673367
Piso 2,19.697499999999998,20.33655,21.002499999999998,1.3049999999999997,18.37905,22.29405,0.9263710998152221,20.28,20.17,0.8581634145728643
Piso 3,19.1375,20.2047,21.677500000000002,2.5400000000000027,16.394699999999993,24.014700000000005,1.8456818843155103,19.564999999999998,19.21,3.4065416180904524
Piso 4,21.0275,21.926399999999997,22.6325,1.6050000000000004,19.518899999999995,24.3339,1.534589804914243,21.92,21.15,2.354965869346734
Piso 5,24.555,25.752200000000002,26.68,2.125,22.564700000000002,28.939700000000002,1.7581531996293254,25.725,25.17,3.0911026733668345
Antena,28.62,29.14375,29.71,1.0899999999999999,27.50875,30.778750000000002,0.6719120227616546,28.98,28.62,0.45146576633165825
RF - VLC,36.62,36.897349999999996,37.15,0.5300000000000011,36.102349999999994,37.69235,0.4789786847052905,36.81,36.62,0.22942058040201005
Sótano 1,7.875,11.500500000000002,11.815,3.9399999999999995,5.590500000000003,17.410500000000003,5.8969866037684975,8.565000000000001,8.26,34.77445100502512
Sótano 2,4.61,4.926,5.18,0.5699999999999994,4.0710000000000015,5.780999999999999,0.342080539460208,4.9350000000000005,4.57,0.11701909547738694
